name,platform,year_of_release
Madden NFL 2004,PS2,2003
FIFA Soccer 2004,PS2,2003
LEGO Batman: The Videogame,Wii,2008
wwe Smackdown vs. Raw 2006,PS2,2005
Space Invaders,2600,1980
Rock Band,X360,2007
Frogger's Adventures: Temple of the Frog,GBA,2001
LEGO Indiana Jones: The Original Adventures,Wii,2008
Call of Duty 3,Wii,2006
Rock Band,Wii,2007
Call of Duty: Black Ops,PC,2010
Rock Band,PS3,2007
Triple Play 99,PS,1998
Adventure,2600,1980
LEGO Batman: The Videogame,PSP,2008
Combat,2600,1977
LEGO Harry Potter: Years 5-7,Wii,2011
NASCAR Thunder 2003,PS2,2002
Hitman 2: Silent Assassin,XB,2002
Rock Band,PS2,2007
Legacy of Kain: Soul Reaver,PS,1999
Donkey Kong Land III,GB,1997
Air-Sea Battle,2600,1977
Suikoden III,PS2,2002
LEGO Harry Potter: Years 5-7,X360,2011
Wheel of Fortune,PS2,2003
Yakuza 4,PS3,2010
LEGO Harry Potter: Years 5-7,PS3,2011
Namco Museum,XB,2010
Rhythm Heaven,Wii,2011
The Lord of the Rings: War in the North,X360,2011
Madden NFL 07,PSP,2006
MLB SlugFest 20-03,PS2,2002
The Lord of the Rings: War in the North,PS3,2011
Shaun White Snowboarding,X360,2008
PES 2009: Pro Evolution Soccer,PSP,2008
WarioWare: Twisted!,GBA,2005
Madden NFL 11,Wii,2010
Test Drive Unlimited 2,X360,2011
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,2005
LEGO Harry Potter: Years 5-7,DS,2011
Monster Hunter 2,PS2,2006
Metal Gear Solid 2: Substance,XB,2002
Test Drive Unlimited 2,PS3,2011
Advance Wars: Days of Ruin,DS,2008
The Golden Compass,Wii,2007
Madden NFL 06,X360,2005
NASCAR: Dirt to Daytona,PS2,2002
Madden NFL 2002,XB,2001
Def Jam: Fight for NY,XB,2004
NBA Street Vol. 2,GC,2003
Fishing Derby,2600,1980
Wet,X360,2009
Sonic the Hedgehog,PS3,2006
Karate,2600,1982
Tiger Woods PGA Tour 07,Wii,2006
Circus Atari,2600,1980
The Chronicles of Riddick: Escape from Butcher Bay,XB,2004
Maze Craze: A Game of Cops 'n Robbers,2600,1978
Silent Hill: Homecoming,X360,2008
Super Breakout,2600,1978
Robert Ludlum's The Bourne Conspiracy,X360,2008
NHL Slapshot,Wii,2010
TERA,PC,2011
NFL GameDay 2003,PS2,2002
LEGO Harry Potter: Years 5-7,3DS,2011
Harvest Moon: Save the Homeland,PS2,2001
Robert Ludlum's The Bourne Conspiracy,PS3,2008
Silent Hill: Homecoming,PS3,2008
Hangman,2600,1978
The Golden Compass,PSP,2007
NBA Live 2003,XB,2002
Cubix Robots for Everyone: Clash 'n' Bash,GBA,2002
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2007
Tropico 4,X360,2011
Tomb Raider (2013),PC,1996
Bejeweled 3,DS,2011
Custom Robo,N64,1999
Final Fantasy XI,PS2,2002
Singularity,X360,2010
Dragster,2600,1980
All-Star Baseball 2005,PS2,2004
Star Wars Jedi Knight II: Jedi Outcast,XB,2002
Slot Machine,2600,1979
The Dukes of Hazzard II: Daisy Dukes It Out,PS,2000
Harvest Moon: The Tale of Two Towns,3DS,2010
NBA Live 2003,GC,2002
Shrek the Third,DS,2007
Nicktoons: Battle for Volcano Island,GC,2006
Haven: Call of the King,PS2,2002
Unreal Championship 2: The Liandri Conflict,XB,2005
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,2005
Pac-Man Fever,GC,2002
The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,2004
Indy 500,2600,1978
Disgaea 3: Absence of Detention,PSV,2008
Flag Capture,2600,1978
Gun,X360,2005
Rock Revolution,PS3,2008
LEGO Harry Potter: Years 5-7,PSP,2011
College Hoops 2K6,PS2,2005
Jonah Lomu Rugby Challenge,PS3,2011
Mega Man X Collection,PS2,2006
BioShock 2,PC,2010
Singularity,PS3,2010
Danganronpa: Trigger Happy Havoc,PSP,2010
Jet X20,PS2,2002
Tony Hawk's Downhill Jam,Wii,2006
Tribes: Aerial Assault,PS2,2002
Big Beach Sports 2,Wii,2010
LEGO Harry Potter: Years 5-7,PC,2011
Yu Yu Hakusho: Dark Tournament,PS2,2004
Ghostbusters II,2600,1992
Breakaway IV,2600,1978
Robotech: Battlecry,XB,2002
Move Fitness,PS3,2010
Valkyria Chronicles III: Unrecorded Chronicles,PSP,2011
DanceDanceRevolution II,Wii,2011
WRC: FIA World Rally Championship,PS3,2011
Famista 64,N64,1997
Dead Space 3,PC,2013
Test Drive Unlimited 2,PC,2011
